Name,Latitude,Longitude,Air conditioning,Housekeeping,Private balcony,Private bathrooms,VIP room facilities,Complimentary toiletries,Room service,Telephone,Minibar,Flatscreen TV,Wifi,Pool,Bar / lounge,Poolside bar,Free parking,Breakfast available,Restaurant,Airport transportation,Car hire,Taxi service,Banquet room,Meeting rooms,Conference facilities,Spa,Sauna,Currency exchange,24-hour security,Concierge,Baggage storage,Sun terrace,Shops,Butler service,First aid kit,Infirmary,24-hour front desk,Private check-in / check-out,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Ocean view,City view,Landmark view,Pool view,Non-smoking rooms,Smoking rooms available,Suites,Rating,Number of reviews,Price,Distance Score,Review Score
Maple Tree Hotels,13.055042266845705,80.2112045288086,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,4.5,187,2822.3995,392.19000000000005,7.13
Days Hotel by Wyndham Chennai OMR,12.80379867553711,80.22460174560547,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.5,109,3573.6000000000013,15.66,6.27
Crowne Plaza Chennai Adyar Park,13.029521942138672,80.24954986572266,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.5,"1,324",4274.971115,465.49000000000007,9.47
"Keys Select Hotel Katti-Ma, Chennai",12.990203857421875,80.25650024414062,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,4.5,356,1755.531,322.8299999999999,8.3
Four Points by Sheraton Chennai OMR,12.875642776489258,80.22700500488281,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,5.0,38,2257.435675,61.88999999999999,5.71
Zone by The Park Orr Chennai,12.949044227600098,80.19979095458984,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,4.5,209,2700.3015000000005,121.92999999999999,7.33
Design Hotel Chennai by juSTa,12.99126434326172,80.2166519165039,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,4.5,329,5201.821500000001,303.01,8.16
Raj Park Chennai,13.044318199157715,80.25955200195312,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.5,374,3095.631,457.0900000000001,7.38
Pride Hotel Chennai,13.079047203063965,80.24906921386719,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,3.5,524,4149.0985,394.10999999999996,7.89
The Elite Grand Hotel,12.864053726196287,80.226806640625,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,268,6809.9415,56.96999999999999,7.29
NK Grand Park Hotel,12.970843315124512,80.14994049072266,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,4.0,143,2382.4,60.029999999999994,6.18
Benzz Park,13.046034812927244,80.23957061767578,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3.5,177,2173.94,464.3800000000001,6.04
Bhimaas Temple Tree Hotel,13.052105903625488,80.2122802734375,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4.0,113,1845.6155,398.23,5.82
Grand Residence,13.037647247314453,80.15969848632812,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3.0,64,2676.4775000000004,138.73000000000002,4.13
The Lotus Hotel Sameera,13.066766738891602,80.27012634277344,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,4.0,76,2855.157500000001,407.30999999999995,5.31
Crescent Inn,12.976107597351074,80.25871276855469,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,4.0,88,1899.964,287.85999999999996,5.48
