Name,Latitude,Longitude,Air conditioning,Housekeeping,Private balcony,Private bathrooms,VIP room facilities,Complimentary toiletries,Room service,Telephone,Minibar,Flatscreen TV,Wifi,Pool,Bar / lounge,Poolside bar,Free parking,Breakfast available,Restaurant,Airport transportation,Car hire,Taxi service,Banquet room,Meeting rooms,Conference facilities,Spa,Sauna,Currency exchange,24-hour security,Concierge,Baggage storage,Sun terrace,Shops,Butler service,First aid kit,Infirmary,24-hour front desk,Private check-in / check-out,Express check-in / check-out,Dry cleaning,Laundry service,Shoeshine,Ocean view,City view,Landmark view,Pool view,Non-smoking rooms,Smoking rooms available,Suites,Rating,Number of reviews,Price,Distance Score,Review Score
The Samilton,22.533845901489247,88.35317993164062,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,3.5,134,3135,554.7900000000004,5.57
Aquatica Resort,22.561607360839844,88.46521759033203,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,4.0,26,2453,109.04000000000002,4.49
Capital O 8565 Hotel Golden Palace,22.57844352722168,88.36188507080078,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0,36,1069,553.8300000000004,4.67
Hotel Sawood International,22.54135513305664,88.38389587402344,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,4.0,39,2484,578.1000000000003,4.72
Red Arrow Residency,22.541173934936523,88.34786224365234,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,4.0,14,2328,555.3200000000004,4.27
OYO 67294 Filoxenia Inn,22.58316993713379,88.47166442871094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,1,620,99.22000000000004,5.02
The Lalit Great Eastern Kolkata,22.56851577758789,88.34955596923828,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,5.0,4068,5588,574.6600000000002,10.0
JW Marriott Hotel Kolkata,22.54795265197754,88.399169921875,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,5.0,2209,7085,567.6400000000003,10.0
"ITC Sonar, Kolkata - a Luxury Collection Hotel",22.54455947875977,88.39795684814453,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1,1,4.5,3916,6104,571.0200000000004,9.5
Calcutta Bungalow,22.598840713500977,88.37672424316406,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5.0,80,6955,484.5900000000002,6.37
The Sonnet,22.589496612548828,88.41143798828125,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,4.5,692,4221,468.03000000000026,9.19
Tatvam Residency,22.5252742767334,88.39476776123047,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,4.5,302,3640,536.1700000000005,8.01
Gallery 67,22.58944892883301,88.39454650878906,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,5.0,44,3450,523.5300000000004,5.81
Floatel Hotel,22.569721221923828,88.34208679199219,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,3.5,570,2368,551.8200000000004,7.99
Siamton Inn,22.54642105102539,88.36161804199219,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,4.0,484,3309,574.0800000000003,8.28
Pipal Tree Hotel,22.62226104736328,88.44569396972656,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,4.0,320,5912,139.40000000000003,7.61
Treebo Trip Jai Ambe Maa,22.524791717529297,88.35651397705078,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4.5,141,1853,548.0500000000004,6.66
Hotel VIP International,22.554718017578125,88.3539810180664,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,4.0,263,3594,574.0800000000003,7.25
LYNQ Cico - A Boutique Hotel,22.52264976501465,88.3277816772461,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,4.0,180,3080,500.79000000000013,6.57
